phase,t_s,overhang_cm,r_m,rdot_m_s,theta_deg,theta_dot_rad_s,alpha_deg,alpha_dot_rad_s,normal_per_mass_m_s2,friction_per_mass_m_s2,normal_N,friction_N,y_cm_m,y_nearest_edge_m
free_fall,0.2087592371312483,1.1,,,,,102.9398238958487,11.725220255598739,0.0,0.0,,,-0.07052941017582012,-0.12023430531002025
free_fall,0.2097583514672483,1.1,,,,,103.61103453629033,11.725220255598739,0.0,0.0,,,-0.07170587513658411,-0.12127357567193364
free_fall,0.2107574658032483,1.1,,,,,104.28224517673198,11.725220255598739,0.0,0.0,,,-0.0728921227460208,-0.12231582621924428
free_fall,0.2117565801392483,1.1,,,,,104.9534558171736,11.725220255598739,0.0,0.0,,,-0.07408815300413021,-0.12336107671350488
free_fall,0.2127556944752483,1.1,,,,,105.62466645761522,11.725220255598739,0.0,0.0,,,-0.07529396591091238,-0.12440934784709769
free_fall,0.2137548088112483,1.1,,,,,106.29587709805686,11.725220255598739,0.0,0.0,,,-0.07650956146636725,-0.1254606612403947
free_fall,0.2147539231472483,1.1,,,,,106.96708773849849,11.725220255598739,0.0,0.0,,,-0.07773493967049486,-0.12651503943879072
free_fall,0.2157530374832483,1.1,,,,,107.63829837894015,11.725220255598739,0.0,0.0,,,-0.07897010052329519,-0.1275725059096091
free_fall,0.21675215182024832,1.1,,,,,108.30950902005355,11.725220255598739,0.0,0.0,,,-0.08021504402601919,-0.1286330850399445
free_fall,0.2177512661562483,1.1,,,,,108.98071966049521,11.725220255598739,0.0,0.0,,,-0.08146977017617477,-0.12969680212906684
free_fall,0.21875038049224832,1.1,,,,,109.65193030093684,11.725220255598739,0.0,0.0,,,-0.08273427897500307,-0.13076368339131833
free_fall,0.2197494948282483,1.1,,,,,110.32314094137847,11.725220255598739,0.0,0.0,,,-0.08400857042250409,-0.131833755948273
free_fall,0.22074860916424832,1.1,,,,,110.9943515818201,11.725220255598739,0.0,0.0,,,-0.08529264451867787,-0.13290704782607465
free_fall,0.2217477235002483,1.1,,,,,111.66556222226173,11.725220255598739,0.0,0.0,,,-0.08658650126352435,-0.13398358795159065
free_fall,0.22274683783624832,1.1,,,,,112.33677286270337,11.725220255598739,0.0,0.0,,,-0.08789014065704356,-0.13506340614844217
free_fall,0.2237459521722483,1.1,,,,,113.007983503145,11.725220255598739,0.0,0.0,,,-0.0892035626992355,-0.13614653313291125
free_fall,0.2247450665092483,1.1,,,,,113.67919414425843,11.725220255598739,0.0,0.0,,,-0.09052676739142944,-0.1372330005108146
free_fall,0.2257441808452483,1.1,,,,,114.35040478470006,11.725220255598739,0.0,0.0,,,-0.09185975473097663,-0.1383228407688132
free_fall,0.2267432951812483,1.1,,,,,115.02161542514169,11.725220255598739,0.0,0.0,,,-0.09320252471919653,-0.13941608727647825
free_fall,0.2277424095172483,1.1,,,,,115.69282606558332,11.725220255598739,0.0,0.0,,,-0.09455507735608917,-0.1405127742773654
free_fall,0.2287415238532483,1.1,,,,,116.36403670602493,11.725220255598739,0.0,0.0,,,-0.09591741264165454,-0.14161293688540114
free_fall,0.2297406381892483,1.1,,,,,117.03524734646658,11.725220255598739,0.0,0.0,,,-0.09728953057589265,-0.14271661108006387
free_fall,0.2307397525252483,1.1,,,,,117.70645798690823,11.725220255598739,0.0,0.0,,,-0.09867143115880346,-0.1438238337014462
free_fall,0.2317388668612483,1.1,,,,,118.37766862734986,11.725220255598739,0.0,0.0,,,-0.10006311439038701,-0.14493464244519932
free_fall,0.2327379811972483,1.1,,,,,119.04887926779149,11.725220255598739,0.0,0.0,,,-0.10146458027064326,-0.14604907585735952
free_fall,0.23373709553424832,1.1,,,,,119.72008990890492,11.725220255598739,0.0,0.0,,,-0.10287582880098968,-0.14716717333017962
free_fall,0.2347362098702483,1.1,,,,,120.39130054934657,11.725220255598739,0.0,0.0,,,-0.10429685997860119,-0.14828897509224265
free_fall,0.23573532420624832,1.1,,,,,121.06251118978818,11.725220255598739,0.0,0.0,,,-0.10572767380488543,-0.14941452220965554
free_fall,0.2367344385422483,1.1,,,,,121.7337218302298,11.725220255598739,0.0,0.0,,,-0.10716827027984241,-0.15054385657594083
free_fall,0.23773355287824832,1.1,,,,,122.40493247067144,11.725220255598739,0.0,0.0,,,-0.1086186494034721,-0.1516770209074044
free_fall,0.2387326672142483,1.1,,,,,123.07614311111308,11.725220255598739,0.0,0.0,,,-0.11007881117577456,-0.15281405873727366
free_fall,0.23973178155024832,1.1,,,,,123.74735375155471,11.725220255598739,0.0,0.0,,,-0.1115487555967497,-0.1539550144097228
free_fall,0.2407308958862483,1.1,,,,,124.41856439199636,11.725220255598739,0.0,0.0,,,-0.11302848266639759,-0.15509993307378758
free_fall,0.2417300102232483,1.1,,,,,125.08977503310977,11.725220255598739,0.0,0.0,,,-0.11451799238621391,-0.15624886067832092
free_fall,0.2427291245592483,1.1,,,,,125.76098567355143,11.725220255598739,0.0,0.0,,,-0.11601728475321704,-0.15740184396108364
free_fall,0.2437282388952483,1.1,,,,,126.43219631399303,11.725220255598739,0.0,0.0,,,-0.11752635976889289,-0.15855893044922953
free_fall,0.2447273532312483,1.1,,,,,127.10340695443469,11.725220255598739,0.0,0.0,,,-0.11904521743324148,-0.15972016844818748
free_fall,0.2457264675672483,1.1,,,,,127.77461759487629,11.725220255598739,0.0,0.0,,,-0.12057385774626278,-0.16088560703618007
free_fall,0.2467255819032483,1.1,,,,,128.44582823531795,11.725220255598739,0.0,0.0,,,-0.12211228070795682,-0.16205529605748833
free_fall,0.2477246962392483,1.1,,,,,129.11703887575956,11.725220255598739,0.0,0.0,,,-0.1236604863183236,-0.16322928611561138
free_fall,0.2487238105752483,1.1,,,,,129.7882495162012,11.725220255598739,0.0,0.0,,,-0.1252184745773631,-0.16440762856632163
free_fall,0.2497229249112483,1.1,,,,,130.45946015664282,11.725220255598739,0.0,0.0,,,-0.12678624548507528,-0.16559037551061717
free_fall,0.2507220392482483,1.1,,,,,131.1306707977563,11.725220255598739,0.0,0.0,,,-0.12836379904304407,-0.16677757978876198
free_fall,0.2517211535842483,1.1,,,,,131.80188143819788,11.725220255598739,0.0,0.0,,,-0.12995113524811153,-0.16796929496827714
free_fall,0.25272026792024826,1.1,,,,,132.4730920786395,11.725220255598739,0.0,0.0,,,-0.13154825410185172,-0.1691655753437185
free_fall,0.2537193822562483,1.1,,,,,133.14430271908114,11.725220255598739,0.0,0.0,,,-0.13315515560426464,-0.1703664759244772
free_fall,0.2547184965922483,1.1,,,,,133.8155133595228,11.725220255598739,0.0,0.0,,,-0.1347718397553503,-0.1715720524284165
free_fall,0.2557176109282483,1.1,,,,,134.48672399996443,11.725220255598739,0.0,0.0,,,-0.13639830655510865,-0.1727823612742252
free_fall,0.25671672526424827,1.1,,,,,135.15793464040607,11.725220255598739,0.0,0.0,,,-0.13803455600353975,-0.17399745957367507
free_fall,0.2577158396002483,1.1,,,,,135.82914528084768,11.725220255598739,0.0,0.0,,,-0.13968058810064357,-0.17521740512378295
free_fall,0.2587149539362483,1.1,,,,,136.50035592128933,11.725220255598739,0.0,0.0,,,-0.14133640284642013,-0.17644225639887906
free_fall,0.2597140682732483,1.1,,,,,137.17156656240277,11.725220255598739,0.0,0.0,,,-0.1430020002425414,-0.17767207254381553
free_fall,0.2607131826092483,1.1,,,,,137.84277720284442,11.725220255598739,0.0,0.0,,,-0.14467738028567317,-0.1789069133609213
free_fall,0.26171229694524833,1.1,,,,,138.51398784328603,11.725220255598739,0.0,0.0,,,-0.14636254297747772,-0.18014683930918
free_fall,0.2627114112812483,1.1,,,,,139.18519848372765,11.725220255598739,0.0,0.0,,,-0.14805748831795496,-0.18139191149101444
free_fall,0.2637105256172483,1.1,,,,,139.8564091241693,11.725220255598739,0.0,0.0,,,-0.14976221630710496,-0.18264219164512963
free_fall,0.2647096399532483,1.1,,,,,140.52761976461093,11.725220255598739,0.0,0.0,,,-0.15147672694492764,-0.18389774213803992
free_fall,0.26570875428924834,1.1,,,,,141.19883040505258,11.725220255598739,0.0,0.0,,,-0.1532010202314231,-0.18515862595551022
free_fall,0.2667078686252483,1.1,,,,,141.87004104549422,11.725220255598739,0.0,0.0,,,-0.15493509616659126,-0.18642490669391196
free_fall,0.26770698296224826,1.1,,,,,142.54125168660764,11.725220255598739,0.0,0.0,,,-0.1566789547521824,-0.18769664855277102
free_fall,0.2687060972982483,1.1,,,,,143.21246232704925,11.725220255598739,0.0,0.0,,,-0.15843259598470583,-0.1889739163208607
free_fall,0.2697052116342483,1.1,,,,,143.8836729674909,11.725220255598739,0.0,0.0,,,-0.16019601986590196,-0.1902567753749468
free_fall,0.2707043259702483,1.1,,,,,144.5548836079325,11.725220255598739,0.0,0.0,,,-0.16196922639577083,-0.19154529166573028
free_fall,0.27170344030624827,1.1,,,,,145.22609424837415,11.725220255598739,0.0,0.0,,,-0.16375221557431238,-0.192839531710066
free_fall,0.2727025546422483,1.1,,,,,145.8973048888158,11.725220255598739,0.0,0.0,,,-0.1655449874015267,-0.19413956258183487
free_fall,0.2737016689782483,1.1,,,,,146.56851552925744,11.725220255598739,0.0,0.0,,,-0.16734754187741374,-0.19544545190273843
free_fall,0.2747007833142483,1.1,,,,,147.23972616969905,11.725220255598739,0.0,0.0,,,-0.16915987900197352,-0.19675726783301897
free_fall,0.27569989765024827,1.1,,,,,147.91093681014067,11.725220255598739,0.0,0.0,,,-0.17098199877520603,-0.19807507906210545
free_fall,0.27669901198724833,1.1,,,,,148.58214745125412,11.725220255598739,0.0,0.0,,,-0.17281390119894968,-0.19939895480051478
free_fall,0.2776981263232483,1.1,,,,,149.2533580916958,11.725220255598739,0.0,0.0,,,-0.17465558626953742,-0.20072896476504795
free_fall,0.2786972406592483,1.1,,,,,149.92456873213737,11.725220255598739,0.0,0.0,,,-0.17650705398879787,-0.20206517917717193
free_fall,0.2796963549952483,1.1,,,,,150.595779372579,11.725220255598739,0.0,0.0,,,-0.1783683043567311,-0.20340766874808908
free_fall,0.28069546933124834,1.1,,,,,151.26699001302063,11.725220255598739,0.0,0.0,,,-0.18023933737333703,-0.20475650467035475
free_fall,0.2816945836672483,1.1,,,,,151.9382006534623,11.725220255598739,0.0,0.0,,,-0.18212015303861567,-0.20611175860810751
free_fall,0.2826936980032483,1.1,,,,,152.60941129390392,11.725220255598739,0.0,0.0,,,-0.18401075135256703,-0.207473502687234
free_fall,0.2836928123392483,1.1,,,,,153.28062193434556,11.725220255598739,0.0,0.0,,,-0.18591113231519113,-0.20884180948547082
free_fall,0.2846919266762483,1.1,,,,,153.95183257545898,11.725220255598739,0.0,0.0,,,-0.18782129592840469,-0.21021675202382356
free_fall,0.2856910410122483,1.1,,,,,154.6230432159006,11.725220255598739,0.0,0.0,,,-0.18974124218838403,-0.21159840375103495
free_fall,0.28669015534824827,1.1,,,,,155.29425385634224,11.725220255598739,0.0,0.0,,,-0.1916709710970361,-0.21298683854176115
free_fall,0.2876892696842483,1.1,,,,,155.96546449678385,11.725220255598739,0.0,0.0,,,-0.19361048265436093,-0.21438213068093614
free_fall,0.2886883840202483,1.1,,,,,156.6366751372255,11.725220255598739,0.0,0.0,,,-0.19555977686035847,-0.21578435485494973
free_fall,0.2896874983562483,1.1,,,,,157.30788577766714,11.725220255598739,0.0,0.0,,,-0.1975188537150287,-0.21719358614139797
free_fall,0.29068661269224827,1.1,,,,,157.97909641810878,11.725220255598739,0.0,0.0,,,-0.19948771321837167,-0.21860989999878006
free_fall,0.2916857270282483,1.1,,,,,158.65030705855042,11.725220255598739,0.0,0.0,,,-0.2014663553703874,-0.2200333722561424
free_fall,0.2926848413642483,1.1,,,,,159.32151769899204,11.725220255598739,0.0,0.0,,,-0.20345478017107582,-0.2214640791026722
free_fall,0.2936839557012483,1.1,,,,,159.9927283401055,11.725220255598739,0.0,0.0,,,-0.2054529876224419,-0.22290209707868486
free_fall,0.2946830700372483,1.1,,,,,160.66393898054713,11.725220255598739,0.0,0.0,,,-0.2074609777204856,-0.22434750305935516
free_fall,0.29568218437324834,1.1,,,,,161.33514962098874,11.725220255598739,0.0,0.0,,,-0.209478750467202,-0.2258003742528029
free_fall,0.2966812987092483,1.1,,,,,162.00636026143036,11.725220255598739,0.0,0.0,,,-0.21150630586259112,-0.22726078818374734
free_fall,0.2976804130452483,1.1,,,,,162.677570901872,11.725220255598739,0.0,0.0,,,-0.21354364390665298,-0.22872882268430383
free_fall,0.2986795273812483,1.1,,,,,163.34878154231365,11.725220255598739,0.0,0.0,,,-0.21559076459938759,-0.23020455588330235
free_fall,0.29967864171724834,1.1,,,,,164.0199921827553,11.725220255598739,0.0,0.0,,,-0.21764766794079493,-0.23168806619556545
free_fall,0.3006777560532483,1.1,,,,,164.6912028231969,11.725220255598739,0.0,0.0,,,-0.21971435393087496,-0.2331794323111469
free_fall,0.3016768703892483,1.1,,,,,165.36241346363857,11.725220255598739,0.0,0.0,,,-0.22179082256962773,-0.2346787331845328
free_fall,0.3026759847262483,1.1,,,,,166.033624104752,11.725220255598739,0.0,0.0,,,-0.22387707385914618,-0.2361860480253185
free_fall,0.3036750990622483,1.1,,,,,166.70483474519358,11.725220255598739,0.0,0.0,,,-0.2259731077952542,-0.23770145628129635
free_fall,0.3046742133982483,1.1,,,,,167.37604538563522,11.725220255598739,0.0,0.0,,,-0.22807892438003494,-0.2392250376366033
free_fall,0.30567332773424827,1.1,,,,,168.04725602607684,11.725220255598739,0.0,0.0,,,-0.23019452361348844,-0.24075687199475979
free_fall,0.3066724420702483,1.1,,,,,168.7184666665185,11.725220255598739,0.0,0.0,,,-0.23231990549561465,-0.2422970394692082
free_fall,0.3076715564062483,1.1,,,,,169.38967730696015,11.725220255598739,0.0,0.0,,,-0.23445507002641358,-0.24384562037231877
free_fall,0.3086706707422483,1.1,,,,,170.06088794740177,11.725220255598739,0.0,0.0,,,-0.2366000172058852,-0.2454026952043677
free_fall,0.30966978507824827,1.1,,,,,170.73209858784344,11.725220255598739,0.0,0.0,,,-0.2387547470340296,-0.24696834464248985
free_fall,0.31066889941524833,1.1,,,,,171.40330922895686,11.725220255598739,0.0,0.0,,,-0.24091925951301804,-0.2485426495311866
free_fall,0.3116680137512483,1.1,,,,,172.07451986939847,11.725220255598739,0.0,0.0,,,-0.24309355463851767,-0.2501256908649202
free_fall,0.3126671280872483,1.1,,,,,172.74573050984012,11.725220255598739,0.0,0.0,,,-0.24527763241269002,-0.25171754978645194
free_fall,0.3136662424232483,1.1,,,,,173.4169411502817,11.725220255598739,0.0,0.0,,,-0.2474714928355351,-0.2533183075694128
free_fall,0.31466535675924834,1.1,,,,,174.08815179072337,11.725220255598739,0.0,0.0,,,-0.24967513590705293,-0.2549280456087208
free_fall,0.3156644710952483,1.1,,,,,174.759362431165,11.725220255598739,0.0,0.0,,,-0.2518885616272435,-0.256546845409411
free_fall,0.3166635854312483,1.1,,,,,175.43057307160663,11.725220255598739,0.0,0.0,,,-0.25411176999610674,-0.25817478857545
free_fall,0.3176626997672483,1.1,,,,,176.1017837120483,11.725220255598739,0.0,0.0,,,-0.25634476101364273,-0.25981195679853714
free_fall,0.31866181410324834,1.1,,,,,176.77299435248992,11.725220255598739,0.0,0.0,,,-0.2585875346798514,-0.26145843184689294
free_fall,0.3196609284402483,1.1,,,,,177.44420499360334,11.725220255598739,0.0,0.0,,,-0.2608400909969923,-0.2631142955557003
free_fall,0.32066004277624827,1.1,,,,,178.11541563404492,11.725220255598739,0.0,0.0,,,-0.2631024299605562,-0.2647796298092349
free_fall,0.3216591571122483,1.1,,,,,178.78662627448657,11.725220255598739,0.0,0.0,,,-0.2653745515727929,-0.26645451653957114
free_fall,0.3226582714482483,1.1,,,,,179.4578369149282,11.725220255598739,0.0,0.0,,,-0.26765645583370234,-0.2681390377087188
free_fall,0.3236573857842483,1.1,,,,,180.12904755536985,11.725220255598739,0.0,0.0,,,-0.2699481427432845,-0.2700630101875419
free_fall,0.32465650012024827,1.1,,,,,180.8002581958115,11.725220255598739,0.0,0.0,,,-0.2722496123015394,-0.27296191330114444
free_fall,0.3256556144562483,1.1,,,,,181.47146883625314,11.725220255598739,0.0,0.0,,,-0.27456086450846695,-0.27587050131021873
free_fall,0.32665472879224833,1.1,,,,,182.14267947669478,11.725220255598739,0.0,0.0,,,-0.27688189936406726,-0.2787886922389053
free_fall,0.3276538431292483,1.1,,,,,182.8138901178082,11.725220255598739,0.0,0.0,,,-0.2792127168706781,-0.28171640413894483
free_fall,0.3286529574652483,1.1,,,,,183.4851007582498,11.725220255598739,0.0,0.0,,,-0.28155331702363373,-0.2846535550891943
free_fall,0.32965207180124834,1.1,,,,,184.15631139869149,11.725220255598739,0.0,0.0,,,-0.283903699825262,-0.2876000632244504
free_fall,0.3306511861372483,1.1,,,,,184.82752203913307,11.725220255598739,0.0,0.0,,,-0.286263865275563,-0.29055584673497337
free_fall,0.3316503004732483,1.1,,,,,185.49873267957472,11.725220255598739,0.0,0.0,,,-0.28863381337453675,-0.29352082388063916
